강동원,배우자,▶ 건물(소계),다가구주택전세(임차)권,서울특별시 종로구 신교동 건물 86.00㎡,"25,000"
강동원,배우자,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2002년식 카니발 배기량(2,978cc)","3,970"
강동원,배우자,▶ 예금(소계),,"삼성생명보험 21,900","21,900"
강동원,본인,▶ 유가증권(소계),비상장주식,한겨레신문사 100주,500
강동원,본인,▶ 채무(소계),,사인간채무,"235,000"
강동원,본인,▶ 채무(소계),금융기관채무,"광화문새마을금고 170,000, 하나은행 414,000","584,000"
강동원,배우자,▶ 채무(소계),금융기관채무,"삼성생명보험 10,970","10,970"
강동원,본인,▶ 골동품 및 예술품(소계),,"서예 (휘호. 민족자주, 화선지 2절Cm, 후광 김대중, 1989)","15,000"
강동원,본인,▶ 골동품 및 예술품(소계),,"동양화 (월매, 62*44Cm, 월전 장우성, 1970)","10,000"
강동원,본인,▶ 골동품 및 예술품(소계),,"서양화 (장수촌, 53*40Cm, 장리석, 1985)","10,000"
강동원,본인,▶ 골동품 및 예술품(소계),,"동양화 (어촌의 아이들, 53*50Cm, 일랑 이종상, 1981)","10,000"
강동원,본인,▶ 골동품 및 예술품(소계),,"서예 (휘호, 45*50Cm, 후광 김대중, 1986)","5,000"
강동원,본인,▶ 골동품 및 예술품(소계),,"회화 (북악산의 봄, 55*60Cm, 일랑 이종상, 1986)","5,000"
강석훈,모,▶ 토지(소계),답,"경상북도 봉화군 법전면 법전리 347번지 2,569.00㎡","8,015"
강석훈,모,▶ 토지(소계),답,"경상북도 봉화군 법전면 척곡리 1182-1번지 1,666.00㎡","8,246"
강석훈,모,▶ 토지(소계),답,경상북도 봉화군 법전면 척곡리 1182-4번지 102.00㎡,404
강석훈,모,▶ 토지(소계),답,경상북도 봉화군 법전면 척곡리 162번지 162.00㎡,813
강석훈,본인,▶ 건물(소계),아파트,서울특별시 서초구 방배동 래미안방배에버뉴 건물 181.00㎡,"848,000"
강석훈,본인,▶ 예금(소계),,"신영증권 22,133, 푸르덴셜생명보험 34,830, 삼성생명보험 14,292,신한금융투자(주) 4,617, 대한생명보험 10,250, 국민은행 178,732","264,854"
강석훈,배우자,▶ 예금(소계),,"스탠다드차타드은행 60,478, 푸르덴셜생명보험 6,568, 삼성생명보험12,264","79,310"
강석훈,모,▶ 예금(소계),,"신한은행 60,728","60,728"
강석훈,본인,▶ 유가증권(소계),상장주식,"한국전력 1,870주, 삼성증권 1,119주, 삼양통상 3,400주, SK브로드밴드5,418주, 맵스리얼티1 15,450주","231,496"
강석훈,본인,▶ 유가증권(소계),주식매수선택권,"STX조선해양 1WR 44주 (행사가격: 1천원, 행사기간: 2009-08-20 ~2012-06-20)",-
강석훈,본인,▶ 유가증권(소계),주식매수선택권,"STX조선해양 1WR 142주 (행사가격: 1천원, 행사기간: 2009-09-20 ~2012-06-20)",-
강석훈,본인,▶ 채무(소계),금융기관채무,"스탠다드차타드은행 100,000","100,000"
강석훈,배우자,▶ 회원권(소계),골프,엘레시안강촌컨트리클럽,"70,000"
강은희,본인,▶ 건물(소계),아파트,대구광역시 수성구 범어동 효성백년가약 궁 건물 139.90㎡,"425,000"
강은희,모,▶ 건물(소계),단독주택,대구광역시 북구 고성동1가 대지 66.40㎡ 건물 25.29㎡,"34,200"
강은희,본인,▶ 부동산에 관한 규정이 준용되는 권리와 자동차․건설기계․선박 및 항공기(소계),자동차,"2012년식 제네시스 배기량(3,342cc)","14,994"
강은희,본인,▶ 예금(소계),,"중소기업은행 38,674, 우리은행 8,403, 신한은행 4,954, 삼성생명보험18,500, 대구은행 2,346, AIA생명보험 79,067, 농협중앙회 339, 에이스생명보험 26,042","178,325"
강은희,배우자,▶ 예금(소계),,"중소기업은행 18,568, 삼성생명보험 11,760, 에이스생명보험 12,496,교보생명보험 9,500","52,324"
강은희,모,▶ 예금(소계),,"신한은행 22,138, 대구은행 1,699, 청운신용협동조합 5,221","29,058"
강은희,본인,▶ 유가증권(소계),비상장주식,"위니텍 1,869,750주","934,875"
강은희,본인,▶ 채무(소계),금융기관채무,"한국주택금융공사 273,000","273,000"
강은희,본인,▶ 채무(소계),기타,현대캐피탈,"49,226"
